T52	400286.6930	4545506.2180	2.1210
T50	400278.2250	4545539.9730	3.1720
T58	400289.6290	4545430.1740	1.6240
L22T1.2	398998.2730	4546943.1164	31.8689
L22T1.1	399003.4040	4546943.1384	32.3402
L22T1.5	399024.9802	4546776.0488	27.8365
L22T1.6	399019.6112	4546775.8408	27.4319
L22T1.14	399227.0003	4546548.3047	16.0423
L22T1.13	399231.5760	4546551.2806	16.4042
L22T1.17	399322.6288	4546485.5463	12.4308
L22T1.20	399371.9264	4546443.7524	9.5814
L22T1.25	399499.6080	4546358.0974	4.6314
L22T1.24	399497.8901	4546353.1512	3.9751
H40	399425.7683	4546449.0679	8.4175
H38	399428.6999	4546453.2582	8.0198
H28	399249.5452	4546576.0734	16.4165
H26	399250.8805	4546581.2501	15.6391
H10	399050.2830	4546800.8548	26.8954
H12	399051.5933	4546781.8741	27.0264
H14	399094.0001	4546714.3219	23.6394
H16	399086.6196	4546715.9664	24.3149
H6	399041.7187	4546835.6455	28.3543
H8	399034.6189	4546848.4200	29.5285
H2	399034.2859	4546939.8723	31.4417
H4	399029.0755	4546942.0616	32.0477
B2.10	399028.4983	4547148.6938	32.6255
B2.7	399023.9812	4547114.2464	32.5674
S23.73	399795.9910	4546141.0076	3.3484
S23.71	399716.5850	4546201.5380	3.1880
KOR2	399661.5317	4546240.3586	1.1576
S21.25	399584.8087	4546290.4647	3.1529
S21.23	399483.1741	4546363.9004	4.8809
S21.21	399414.2600	4546413.3913	7.4135
S21.19	399359.3796	4546458.6951	9.8249
S22T1.4	399700.7566	4546206.3270	2.4217
S22T1.3	399705.5904	4546213.0444	2.9372
S22T1.2	399623.4153	4546262.1165	2.4096
S22T1.1	399628.5335	4546268.5877	2.9143
L22T1.30	399580.5820	4546293.3531	2.7418
L22T1.29	399584.2947	4546296.9685	3.2743
L22T1.28	399539.4490	4546323.0385	3.1245
L22T1.27	399552.4762	4546319.8874	3.6080
L22T1.23	399444.3905	4546397.8886	6.6490
L22T1.22	399431.5653	4546400.9942	6.4444
L22T1.21	399392.1071	4546428.9770	8.6356
L22T1.19	399374.5563	4546448.1633	9.5175
S23.74	399974.8642	4546073.9135	3.7298
S23.72	399866.7995	4546136.2608	3.4648
S23.70	399802.9846	4546183.8399	3.1038
S23.68	399740.7106	4546228.7282	3.7469
S21.30	399633.3941	4546305.9499	2.8995
S21.28	399595.9800	4546326.6354	3.0095
S21.26	399460.6602	4546405.3428	6.1182
S21.24	399515.9700	4546390.2400	4.2054
S21.22	399459.2761	4546430.9498	6.8360
S21.20	399396.6687	4546470.4619	10.0483
T8	399830.1700	4546159.3000	3.6820
T6	399840.5200	4546158.8900	3.4459
T4	399767.9900	4546202.6400	3.4962
T2	399775.7800	4546203.4500	2.9409
H60	399700.5200	4546247.2700	2.9841
H58	399700.7100	4546257.5700	2.6318
H56	399662.0300	4546275.0800	3.0253
H54	399666.4500	4546282.1900	2.5613
H52	399606.5500	4546318.6500	3.5221
H50	399609.3900	4546322.8900	3.0299
H48	399551.6200	4546358.3800	3.9765
H46	399552.0200	4546364.2300	3.4312
H44	399495.1600	4546398.9700	5.5270
H42	399496.5300	4546404.2900	5.8196
HMK4	399485.5700	4546393.5800	5.5830
HMK3	399486.7900	4546398.4800	5.3327
HMK2	399442.8300	4546410.5700	6.7248
HMK1	399444.8900	4546404.5400	6.9810
